cgpa,iq,attendance,lpa
6.87,111,65.9,7.31
9.75,118,85.2,10.42
8.66,128,89.3,10.01
7.99,131,65.7,9.14
5.78,140,87.8,7.4
5.78,111,71.6,5.84
5.29,83,83.5,6.15
9.33,109,83.5,9.8
8.01,116,79.1,8.96
8.54,102,59.1,8.57
5.1,118,92.6,6.02
9.85,124,69.4,10.65
9.16,94,63.4,9.06
6.06,122,56.8,5.87
5.91,108,81.6,6.76
5.92,115,85.5,7.01
6.52,92,55.7,5.98
7.62,111,78.0,8.48
7.16,86,65.2,7.42
6.46,138,84.0,7.74
8.06,130,62.8,8.89
5.7,101,86.1,6.91
6.46,107,72.4,6.88
6.83,81,97.2,7.59
7.28,121,61.2,6.85
8.93,124,70.3,8.55
6.0,136,60.1,6.53
7.57,132,96.6,8.68
7.96,85,94.5,8.48
5.23,107,66.6,5.22
8.04,107,84.7,7.82
5.85,123,91.8,7.35
5.33,123,80.0,6.12
9.74,99,78.8,9.84
9.83,109,65.9,9.21
9.04,90,59.2,8.18
6.52,137,95.4,8.88
5.49,134,95.5,7.25
8.42,107,83.5,9.17
7.2,104,70.3,6.74
5.61,118,70.7,7.22
7.48,112,87.7,9.15
5.17,80,95.4,6.55
9.55,136,94.9,11.24
6.29,106,90.1,7.23
8.31,136,83.9,9.56
6.56,131,58.8,7.29
7.6,92,62.3,6.89
7.73,120,95.4,8.76
5.92,82,82.3,5.43
9.85,118,55.4,9.08
8.88,85,59.6,8.86
9.7,87,84.9,9.62
9.47,106,55.2,8.72
7.99,88,62.2,7.59
9.61,116,79.7,9.3
5.44,112,86.1,6.85
5.98,130,84.3,7.74
5.23,121,65.1,5.83
6.63,123,87.0,8.47
6.94,103,65.7,6.3
6.36,94,69.6,7.18
9.14,138,88.6,9.98
6.78,133,84.2,7.37
6.4,111,93.2,7.41
7.71,111,84.6,9.24
5.7,103,80.6,6.3
9.01,120,59.2,8.42
5.37,131,71.5,5.61
9.93,128,66.9,10.04
8.86,128,66.0,8.19
5.99,137,98.8,7.23
5.03,131,72.7,6.62
9.08,91,95.1,10.23
8.53,118,83.4,9.16
8.65,81,90.8,8.71
8.86,82,77.6,8.69
5.37,128,81.0,7.53
6.79,116,77.2,7.58
5.58,128,63.8,6.47
9.32,135,87.5,10.29
8.12,96,67.6,7.93
6.65,138,56.1,7.22
5.32,128,84.0,6.59
6.55,81,63.0,5.2
6.63,81,97.3,7.91
8.65,107,97.9,9.36
8.19,133,96.2,10.58
9.44,102,71.7,9.65
7.36,116,55.7,7.19
5.6,111,96.8,7.12
8.57,112,74.3,8.78
8.8,80,98.5,9.09
7.81,98,98.4,8.83
8.85,81,93.4,9.59
7.47,132,68.3,7.78
7.61,123,72.3,7.81
7.14,105,93.3,7.92
5.13,111,69.3,5.97
5.54,85,62.6,5.86
